Country Code,Variable code,Variable description,Units
AUT,YRH,"Net current receipts of households, value",National currency
AUT,YROTH,"Other current income receivable by households, value",National currency
AUT,YSE,"Self-employment income received by households, value",National currency
BEL,BSII,"Balance of primary income, value, balance of payments basis",National currency
BEL,BSIID,"Balance of primary income, value in USD, balance of payments basis",USD
BEL,BSIIQ,"Balance of primary income,  as a % of GDP, balance of payments basis",Ratio
BEL,CAPOG,"Net capital outlays of the government, value",National currency
BEL,CB,"Current account balance, value",National currency
BEL,CBD,"Current account balance, value in USD",USD
BEL,CBGDPR,"Current account balance, as a percentage of GDP",Per cent
BEL,CBR,"Current account balance, residual item",National currency
BEL,CBRD,"Current account balance, residual item, USD",USD
BEL,CFKG,"Government consumption of fixed capital, value",National currency
BEL,CG,"Government final consumption expenditure, value, GDP expenditure approach",National currency
BEL,CGAA,"Government final consumption expenditure, value, appropriation account",National currency
BEL,CGV,"Government final consumption expenditure, volume",National currency
BEL,CLF,"Employment coefficient, supply",Ratio
BEL,CP,"Private final consumption expenditure, value, GDP expenditure approach",National currency
BEL,CPAA,"Private final consumption expenditure, value, appropriation account",National currency
BEL,CPIDR,"Competitiveness indicator, relative consumer prices (CPI), overall weights",Index
BEL,CPIH,"Consumer price index, harmonised",Index
BEL,CPV,"Private final consumption expenditure, volume",National currency
BEL,CQ_FBGSV,"Net exports, contribution to growth in real GDP",Per cent
BEL,CQ_ISKV,"Change in inventories, contributions to growth in real GDP",Per cent
BEL,CTGSVD,"Contribution to world trade volume, goods and services expressed in USD, 2005 prices",Per cent
BEL,EE,"Dependent employment, total economy",Persons
BEL,EG,General government employment,Persons
BEL,EQPF,"Adjustment for the change in net equity of households in pension fund reserves, value",National currency
BEL,ES,Total self-employed,Persons
BEL,ET,Total employment,Persons
BEL,ET_NA,"Total employment, National Accounts basis",Persons
BEL,EXCH,"Exchange rate, USD per National currency",Level
BEL,EXCHEB,"Nominal effective exchange rate, chain-linked, overall weights",Level
BEL,EXCHUD,"Exchange rate, National currency per USD",Level
BEL,FBGS,"Net exports of goods and services, value, National Accounts basis",National currency
BEL,FBGSD,"Net exports of goods and services, value, National Accounts basis, USD",USD
BEL,FBGSQ,"Net exports of goods and services, as a % of GDP, national accounts basis",Ratio
BEL,FDD,"Final domestic expenditure, value",National currency
BEL,FDDV,"Final domestic expenditure, volume",National currency
BEL,GDP,"Gross domestic product, value, market prices",National currency
BEL,GDP_USD,"Gross domestic product, US $, current prices, constant exchange rates, EO base year",USD
BEL,GDPV,"Gross domestic product, volume, market prices",National currency
BEL,GDPV_USD,"Gross domestic product, US $, volume, constant exchange rates, EO base year",USD
BEL,GDPVD,"Gross domestic product, volume, at 2005 PPP, USD",USD
BEL,GFAR,"General government gross financial assets, as a percentage of GDP",Per cent
BEL,GGFL,"General government gross financial liabilities, value",National currency
BEL,GGFLM,"Gross public debt, Maastricht criterion, value",National currency
BEL,GGFLMQ,"Gross public debt, Maastricht criterion, as a percentage of GDP",Per cent
BEL,GGFLQ,"General government gross financial liabilities, as a percentage of GDP",Per cent
BEL,GGINTP,"Gross government interest payments, value",National currency
BEL,GGINTR,"Gross government interest receipts, value",National currency
BEL,GNFL,"General government net financial liabilities, value",National currency
BEL,GNFLQ,"General government net financial liabilities, as a percentage of GDP",Per cent
BEL,GNINTP,"Net government interest payments, value",National currency
BEL,GNINTQ,"Net government interest payments, as a percentage of GDP",Per cent
BEL,HRS,"Hours worked per employee, total economy",Hours
BEL,IBGV,"Private non-residential and government fixed capital formation, volume",National currency
BEL,IBV,"Private non-residential gross fixed capital formation, volume",National currency
BEL,IGAA,"Government fixed capital formation, value, appropriation account",National currency
BEL,IGV,"Government gross fixed capital formation, volume",National currency
BEL,IHV,"Gross fixed capital formation, housing, volume",National currency
BEL,IRL,Long-term interest rate on government bonds,Per cent
BEL,IRS,Short-term interest rate,Per cent
BEL,IT,"Gross fixed capital formation, total, value",National currency
BEL,ITISK,"Gross capital formation, current prices",National currency
BEL,ITISKV,"Gross capital formation, total, volume",National currency
BEL,ITV,"Gross fixed capital formation, total, volume",National currency
BEL,KTPV,"Productive capital stocks, volume",National currency
BEL,LF,Labour force,Persons
BEL,MGS,"Imports of goods and services, value, National Accounts basis",National currency
BEL,MGSD,"Imports of goods and services, value, National Accounts basis, USD",USD
BEL,MGSV,"Imports of goods and services, volume, National Accounts basis",National currency
BEL,MGSVD,"Imports of goods and services, volume, USD, 2005 prices",USD
BEL,MPEN,"Import penetration, goods and services",Ratio
BEL,MSHA,"Share of value imports of good and services in world imports, USD",ratio
BEL,NLG,"Government net lending, value",National currency
BEL,NLGQ,"Government net lending, as a percentage of GDP",Per cent
BEL,NLGX,"Government primary balance, value",National currency
BEL,NLGXQ,"Government primary balance, as a percentage of GDP",Per cent
BEL,NTR,"Secondary income, net,  balance of payments basis",National currency
BEL,NTRD,"Secondary income, net, value, balance of payments basis, USD",USD
BEL,NTRQ,"Net secondary income, as a % of GDP, balance of payments basis",Ratio
BEL,PCG,"Government final consumption expenditure, deflator",Index
BEL,PCOREH,"Core inflation index, harmonised",Index
BEL,PCP,"Private final consumption expenditure, deflator",Index
BEL,PDTY,Labour productivity of the total economy,Index
BEL,PFDD,"Final domestic expenditure, deflator",Index
BEL,PGDP,"Gross domestic product, deflator, market prices",Index
BEL,PIGAA,"Government fixed capital formation, deflator,based on approproation account",Index
BEL,PIT,"Gross total fixed capital formation, deflator",Index
BEL,PITISK,"Gross capital formation, deflator",Index
BEL,PMGS,"Imports of goods and services, deflator, National Accounts basis",Index
BEL,PMGSX,Price of non- commodity imports of goods and services,Index
BEL,PMNW,Price of commodity imports,Index
BEL,PMSH,Shadow price of goods and services imports,Index
BEL,PMSHX,Shadow price of non- commodity goods and services imports,Index
BEL,POP,Total Population,Persons
BEL,PPP,"Purchasing power parity, National currency per USD",Level
